,No.,Movie,Year,IMDB_rating,Number of votes,Meta favor,Meta score,Certificate,Runtime,Genre,Gross Exact Value,Gross Approximation,movie_url
14,38033,Career Suicide: Arthur's Edge,2017,8.7,7,,,,28 min,"Short, Comedy",,,/title/tt8032170/
15,38036,Etegi Belinde,2017,7.9,7,,,,,"Short, Music",,,/title/tt8021120/
16,38041,Pili,2017,7.9,7,,,,,"Short, Comedy",,,/title/tt8008650/
17,38045,Baba Sathya Sai,2017,5.6,7,,,,,Biography,,,/title/tt7998276/
18,38046,Appata Siri,2017,5.6,7,,,,,Comedy,,,/title/tt7998196/
19,38047,Penelope,2017,7.3,7,,,,5 min,"Animation, Short",,,/title/tt7994052/
20,38049,The caregiver,2017,7.4,7,,,,12 min,"Short, Drama",,,/title/tt7993388/
0,38054,Ippatlo Ramudila Seethala Evaruntarandi Babu,2017,8.9,7,,,,,Romance,,,/title/tt7981432/
1,38060,Batman and the Pizza Time part 1,2017,9.3,7,,,,10 min,"Short, Drama",,,/title/tt7959470/
2,38062,Gong!,2017,8.7,7,,,,,"Short, Comedy",,,/title/tt7955830/
3,38072,This Is Home,2017,8.9,7,,,,50 min,Sport,,,/title/tt7952374/
4,38073,Naalu Perukku Nallathunna Ethuvum Thappila,2017,6.0,7,,,,,"Action, Adventure",,,/title/tt7951634/
5,38074,A Piece of Paradise,2017,8.7,7,,,,81 min,Documentary,,,/title/tt7950510/
6,38076,Sketches,2017,9.3,7,,,,36 min,"Documentary, Short, Drama",,,/title/tt7948850/
7,38078,Nosey,2017,6.9,7,,,TV-MA,12 min,"Short, Comedy, Thriller",,,/title/tt7945374/
8,38082,El show de cejas pobladas,2017,4.1,7,,,,,Comedy,,,/title/tt7941592/
9,38085,Couples Therapy,2017,9.4,7,,,,4 min,"Short, Comedy",,,/title/tt7929234/
10,38086,Orientation,2017,8.7,7,,,,5 min,"Short, Comedy",,,/title/tt7928608/
11,38089,Chris and Anthony,2017,7.6,7,,,,,"Short, Action",,,/title/tt7922468/
12,38090,Jar of Bees,2017,9.6,7,,,,2 min,"Short, Comedy",,,/title/tt7922022/
13,38091,Look to the Sky,2017,8.1,7,,,Not Rated,72 min,Documentary,,,/title/tt7918964/
14,38092,The Wake,2017,6.9,7,,,,10 min,"Short, Horror",,,/title/tt7918214/
15,38094,Girlhood,2017,5.6,7,,,,16 min,"Documentary, Short, Biography",,,/title/tt7917582/
16,38095,Charley Horse,2017,7.0,7,,,,,"Short, Drama",,,/title/tt7913510/
17,38096,Fallout: Wasteland Survival Guide,2017,8.3,7,,,,,Short,,,/title/tt7912660/
18,38098,Die neuen Kinder von Golzow,2017,8.0,7,,,,88 min,Documentary,,,/title/tt7904704/
19,38099,Cómo Muere Dios,2017,9.3,7,,,,9 min,Short,,,/title/tt7890802/
20,38100,Something Crunchy,2017,7.0,7,,,,13 min,"Short, Thriller",,,/title/tt7889928/
0,38120,Im Schatten der Utopie,2017,6.7,7,,,,23 min,Short,,,/title/tt7869090/
1,38124,Dream of Championship,2017,5.7,7,,,,6 min,"Documentary, Short, Sport",,,/title/tt7858592/
2,38125,Small Talk,2017,4.9,7,,,,11 min,"Short, Musical",,,/title/tt7856538/
3,38127,No Winners,2017,3.3,7,,,,7 min,"Short, Drama",,,/title/tt7856014/
4,38128,Bisu,2017,3.9,7,,,,16 min,"Short, Drama",,,/title/tt7854550/
